,0,1,2
0,上海市,1792842.229586184,3533532.888065
1,临沧市,-349880.1729684371,2673621.0484247534
2,丽江市,-243736.62938891468,3003028.0462870426
3,保山市,-414119.8768102626,2794030.174887567
4,大理白族自治州,-300691.43529237155,2870852.1166622383
5,德宏傣族景颇族自治州,-507820.85549829935,2753621.68893995
6,怒江傈僳族自治州,-408612.12206979207,3016343.144329209
7,文山壮族苗族自治州,164490.99762104696,2624729.3824701244
8,昆明市,-16417.534286304937,2818697.177465259
9,昭通市,105072.2793498411,3066404.6451975396
10,普洱市,-247099.78431369795,2583710.664125726
11,曲靖市,92185.8195936393,2850056.6146335723
12,楚雄彝族自治州,-148360.5892214406,2820473.858285788
13,玉溪市,-90193.5339266887,2682884.822481564
14,红河哈尼族彝族自治州,-7873.555796947869,2601833.6153844097
15,西双版纳傣族自治州,-230281.89724391693,2443067.813678255
16,迪庆藏族自治州,-344003.22006799397,3123312.351922323
17,乌兰察布市,871283.6237833633,4625937.5562437065
18,乌海市,404380.84028668253,4365574.714794371
19,兴安盟,1531214.202036558,5208662.2263421295
20,包头市,688399.559991579,4603976.874124632
21,呼伦贝尔市,1449932.5955820256,5586056.388900226
22,呼和浩特市,796342.2205652574,4500825.216009828
23,巴彦淖尔市,463639.9797319863,4590537.150170258
24,赤峰市,1384739.4939991883,4843175.964083641
25,通辽市,1592932.9463346326,4943946.975939259
26,鄂尔多斯市,553732.8285323291,4364103.6207747795
27,锡林郭勒盟,1097540.1911034533,4923704.019283973
28,阿拉善盟,32464.154358342847,4500083.465079885
29,北京市,1216767.7121004767,4484032.320769016
30,吉林市,2023299.567215168,5003058.566822273
31,四平市,1831637.3644880878,4959897.793259757
32,延边朝鲜族自治州,2221220.253001709,5000526.888038971
33,松原市,1803325.0243748506,5096694.073380755
34,白城市,1676241.3254907548,5133989.540591286
35,白山市,2099001.9756408217,4843067.055974076
36,辽源市,1916869.1554380783,4889367.063840955
37,通化市,1990573.0728554544,4805054.455759429
38,长春市,1915881.9361941405,5072375.143770804
39,乐山市,68754.16093584802,3240719.1831102106
40,内江市,200780.40532343116,3284312.5433202246
41,凉山彝族自治州,-83867.27044197277,3099790.804669109
42,南充市,328732.34511176834,3453989.671671614
43,宜宾市,170568.5228456006,3166619.4742643
44,巴中市,409086.2217982538,3544116.0858351924
45,广元市,290952.4687512967,3573022.2959997333
46,广安市,371697.0334430895,3368155.447889678
47,德阳市,159624.558647521,3451209.0681673675
48,成都市,99823.54524806193,3405323.686588673
49,攀枝花市,-124093.71781716264,2981627.1576073007
50,泸州市,271347.2310834428,3149388.668220253
51,甘孜藏族自治州,-264020.4189786955,3451323.5130558508
52,眉山市,89437.5797336799,3319595.0963800377
53,绵阳市,188079.02539964416,3529680.034030369
54,自贡市,177561.74429154955,3245696.881529397
55,资阳市,206376.75462663762,3344113.239153884
56,达州市,465960.51913784805,3471517.9060247415
57,遂宁市,257545.11491989504,3392892.012401846
58,阿坝藏族羌族自治州,-7552.984516957936,3598442.5166910985
59,雅安市,-15727.217086242876,3322724.9011026835
60,天津市,1306488.9634291555,4392975.060477659
61,中卫市,275299.5994610134,4104123.7606362132
62,吴忠市,371128.90826680366,4148323.415179
63,固原市,335917.821527582,3981682.548318616
64,石嘴山市,371567.28726454644,4320399.361814843
65,银川市,356003.9011654003,4233967.281227693
66,亳州市,1262013.2888655653,3730998.441065195
67,六安市,1288986.745860747,3544980.2142269854
68,合肥市,1375605.8789687457,3578945.9431109396
69,安庆市,1325705.8536258116,3419367.0713823237
70,宣城市,1542858.4646989289,3446893.932393136
71,宿州市,1354130.5233930536,3786296.671296315
72,巢湖市,1431676.5525738022,3524071.322614747
73,池州市,1402938.014846212,3388913.1242054477
74,淮北市,1311502.313492241,3767882.7739564814
75,淮南市,1319898.3501162846,3659700.2939323904
