,city_01,lng_gis,lat_gis
0,巴彦淖尔市,463639.9797319863,4590537.150170258
1,徐州市,1377000.5124964078,3844639.1988461073
2,长沙市,1006226.8914717148,3134531.9732757118
3,达州市,465960.5191378481,3471517.9060247415
4,酒泉市,-518952.2479404904,4525784.312036776
5,海北藏族自治州,-176840.68802754828,4213286.4542397205
6,汕尾市,1275198.7912896154,2560529.640117492
7,濮阳市,1158378.481037496,3988775.4320588126
8,十堰市,729529.7772638334,3595052.174966512
9,昌吉回族自治州,-1045043.3891905913,5099358.438398813
10,梅州市,1322712.46573633,2701671.5775045943
11,池州市,1402938.014846212,3388913.124205448
12,常州市,1607449.3500287558,3559782.609309772
13,黔南布依族苗族自治州,424898.01067631243,2878365.1529018683
14,恩施土家族苗族自治州,648967.3575939757,3342272.1214271067
15,阜新市,1652002.7651480124,4778063.311686257
16,漯河市,1047617.3870579944,3741047.853012023
17,九江市,1223711.8153802229,3268512.14204643
18,淮北市,1311502.3134922408,3767882.773956482
19,宜春市,1184956.5037756674,3152185.6650294256
20,漳州市,1465578.804279251,2723092.0503238062
21,吐鲁番地区,-997701.07606279,4857621.327707337
22,湖州市,1640418.98898373,3463589.1987354658
23,陵水黎族自治县,706124.0644841363,2051927.2422052715
24,锦州市,1638062.0653493872,4680919.523412326
25,三亚市,650042.574761858,2029924.7491922085
26,临汾市,803848.8282074489,4015907.7384745376
27,香港特别行政区,1126793.9184229996,2514052.773494464
28,楚雄彝族自治州,-148360.5892214406,2820473.858285788
29,河池市,483973.14912445843,2726461.898814344
30,鸡西市,2390668.526396874,5350424.3132137135
31,开封市,1099952.3045280841,3850226.6816627067
32,吴忠市,371128.90826680366,4148323.4151790002
33,中卫市,275299.5994610134,4104123.7606362123
34,乌兰察布市,871283.6237833633,4625937.5562437065
35,塔城地区,-1308916.0449925351,5324530.187249305
36,定西市,176387.93709723352,3893398.7282972895
37,上饶市,1427315.322757045,3221236.9688046263
38,聊城市,1206971.0904659713,4065155.587134652
39,梧州市,805632.5194865067,2600883.5261430615
40,克孜勒苏柯尔克孜自治州,-2276208.7276876965,4915870.435050277
41,廊坊市,1245109.4387977405,4382704.856216865
42,七台河市,2279583.5567604913,5349411.574218462
43,三明市,1441313.1469664478,2944307.9090040214
44,包头市,688399.559991579,4603976.874124632
45,曲靖市,92185.8195936393,2850056.6146335723
46,普洱市,-247099.78431369798,2583710.664125726
47,珠海市,1081049.5682783108,2455502.8952190145
48,济源市,1158378.481037496,3988775.4320588126
49,保亭黎族苗族自治县,673697.1358129731,2057443.0682172496
50,银川市,356003.90116540034,4233967.281227693
51,防城港市,501745.16390411404,2419074.4587037917
52,潍坊市,1493305.031335043,4104508.1770532685
53,拉萨市,-1143284.3701889592,3447767.5624562907
54,葫芦岛市,1536140.0328196897,4569298.812637793
55,林芝地区,-746590.9987276903,3300209.175912877
56,景德镇市,1402714.68025057,3279322.3073780388
57,汕头市,1395339.1416383279,2608836.0833932324
58,毕节市,223512.5561533948,2998294.443125505
59,白银市,198329.825985182,4058624.7602902283
60,庆阳市,463545.41544595343,4003689.068301413
61,德阳市,159624.558647521,3451209.0681673675
62,邵阳市,785457.8110236917,2981225.873584571
63,台州市,1801467.1599321687,3250381.456904508
64,巴中市,409086.2217982538,3544116.0858351924
65,伊春市,2083832.0221804944,5518551.460829364
66,雅安市,-15727.217086242876,3322724.901102684
67,屯昌县,715729.1546326731,2140960.656052088
68,白城市,1676241.3254907548,5133989.5405912865
69,黄山市,1475247.4164891192,3352799.6231309283
70,海南藏族自治州,-199612.61516027426,4007786.166459645
71,吉安市,1178386.5908065876,3002960.463606238
72,齐齐哈尔市,1739482.6291009597,5419108.468711335
73,滨州市,1370537.628723025,4201717.8974854015
74,济南市,1312670.6395903279,4106160.5160936783
75,秦皇岛市,1458769.0799162404,4495189.957910921
76,克拉玛依市,-1284770.1472006664,5294394.114448972
77,百色市,325889.8524913254,2654671.442697828
78,渭南市,668896.138084485,3870340.873637043
79,亳州市,1262013.288865565,3730998.441065195
80,铁岭市,1827570.2325689076,4851740.755168206
81,佛山市,1007492.6459118036,2553871.7933878982
82,昌都地区,-553053.8774280753,3458871.4130022363
83,武威市,66854.7612035232,4237981.101629685
84,伊犁哈萨克自治州,-1597952.9325173954,5152228.879390013
85,宁德市,1660611.3813698622,3033276.2848803564
86,遵义市,410077.5938286815,3117374.311304418
87,榆林市,636411.4088847192,4212829.816851535
88,绵阳市,188079.02539964413,3529680.0340303686
89,琼中黎族苗族自治县,694914.4524618625,2106593.4710320397
90,来宾市,643917.0548269758,2639945.55662236
91,攀枝花市,-124093.71781716266,2981627.1576073007
92,济宁市,1294597.821553914,3951402.4735245593
93,随州市,1013852.369516792,3535611.619817915
94,儋州市,644270.6700320871,2168413.429993091
95,南平市,1506928.2017056178,3066312.814212822
96,南阳市,900652.198300209,3665685.8251215364
97,潮州市,1398673.1797434664,2658704.1908804025
98,六盘水市,188912.1793738643,2895353.570292895
99,陇南市,241866.58569615046,3722279.268100808
100,张家界市,745366.4652920881,3255446.2986153737
101,乌海市,404380.8402866825,4365574.714794371
102,郑州市,1001907.8767533959,3846902.434196435
103,崇左市,425199.54577987775,2489633.1600195062
104,天津市,1306488.9634291555,4392975.060477659
105,赤峰市,1384739.4939991885,4843175.964083641
106,凉山彝族自治州,-83867.27044197277,3099790.8046691087
107,遂宁市,257545.11491989504,3392892.0124018462
108,大同市,989635.3872938821,4433999.079918384
109,莱芜市,1369325.942345244,4059485.013035317
110,三沙市,,
111,安康市,587085.4008984922,3626092.1923895804
112,新乡市,1054325.065637978,3920953.19539368
113,东营市,1440911.2816886234,4222420.714428323
114,南通市,1739558.3841161241,3637368.0022302186
115,湘西土家族苗族自治州,668767.4401301035,3176424.0088692917
116,日喀则地区,-1614263.8733957757,3469076.147795294
117,黄冈市,1204228.182361337,3422382.5812325217
118,那曲地区,-1269968.1549491452,3784645.847562852
119,大理白族自治州,-300691.43529237155,2870852.1166622383
120,牡丹江市,2238017.7338046245,5178603.148524053
121,蚌埠市,1372050.4568096031,3703777.6768428194
122,固原市,335917.821527582,3981682.548318616
123,泰州市,1635885.8266596196,3669826.104504853
124,石家庄市,1065003.824394176,4241731.747530914
125,兰州市,108555.68152437893,4034239.843297156
126,博尔塔拉蒙古自治州,-1548776.201651787,5293473.029227789
127,衢州市,1544042.5372400146,3249381.8019373305
128,盘锦市,1677306.7985638368,4642619.976586034
129,海东地区,-8111.629663002848,4036925.7886079913
130,贵港市,704342.9566735356,2580055.6444099564
131,宜宾市,170568.52284560062,3166619.4742643
132,荆门市,939981.3350831405,3447720.507795736
133,丽水市,1634614.3210607555,3174861.0348501354
134,营口市,1727130.158638689,4574142.749855889
135,成都市,99823.54524806193,3405323.686588673
136,安阳市,1074239.8106030242,3990584.2771002026
137,阳江市,893512.6021975569,2435659.3418566957
138,芜湖市,1488341.7910792285,3485468.2954203705
139,枣庄市,1359700.9167112357,3905742.896614823
140,保山市,-414119.87681026256,2794030.174887567
141,德州市,1267760.99456288,4159095.277613908
142,白山市,2099001.9756408217,4843067.0559740765
143,贵阳市,371349.48371959134,2970631.7859605188
144,平顶山市,964429.0405978056,3752245.0092452173
145,延安市,618343.3986408992,4034633.3933932274
146,临沂市,1436684.9728409918,3957636.71495792
147,海西蒙古族藏族自治州,-709840.90947651,4145984.531437267
148,吕梁市,787823.4298523071,4176560.203826144
149,镇江市,1585247.0358058163,3601620.9256014144
150,宿迁市,1476314.3762075882,3789910.9193384917
151,惠州市,1168040.1438286721,2581165.2527847583
152,鹰潭市,1396128.2308769822,3157104.4677347764
153,北京市,1216767.712100477,4484032.320769017
154,淮安市,1522751.712642037,3746205.289144676
155,承德市,1300118.4995663457,4622885.36617235
156,黔西南布依族苗族自治州,244480.86831147052,2797859.696106357
157,乌鲁木齐市,-1130212.9253214116,5046837.8234429015
158,乐山市,68754.16093584803,3240719.1831102106
159,连云港市,1527025.6972115058,3882822.2805518806
160,昆明市,-16417.534286304937,2818697.1774652586
161,琼海市,754831.2281685282,2126937.0174737084
162,阿里地区,-1914185.1239230859,3959086.771698528
163,宿州市,1354130.5233930536,3786296.671296315
164,通辽市,1592932.9463346326,4943946.975939259
165,自贡市,177561.74429154952,3245696.881529397
166,武汉市,1108630.3696556292,3406387.833868675
167,鹤壁市,1071255.733736238,3973189.040657987
168,阿拉善盟,32464.154358342847,4500083.465079885
169,韶关市,1084363.4192860564,2758360.928239956
170,太原市,879335.9594696403,4211786.086418246
171,甘孜藏族自治州,-264020.4189786955,3451323.5130558508
172,郴州市,1015538.4131551995,2866530.8190973937
173,吉林市,2023299.5672151682,5003058.566822273
