,city_name,GDP2011,GDP2015,POP2011,UPOP2011,POP2015,UPOP2015,GVM2011,GVM2015
0,南  京,6145.52,9720.77,800.76,628.6,823.59,670.4,2390.51,3395.26
1,无  锡,6880.15,8518.26,637.56,452.35,651.1,490.93,3463.12,3837.28
2,徐  州,3551.65,5319.88,858.21,462.56,866.9,529.24,1509.82,1976.57
3,常  州,3580.99,5273.15,459.33,293.74,470.14,329.1,1768.91,2269.99
4,苏  州,10716.99,14504.07,1046.85,738.51,1061.6,795.14,5555.33,6490.44
5,南  通,4080.22,6148.4,728.18,407.78,730.0,458.15,1840.41,2453.38
6,连云港,1410.52,2160.64,439.71,227.55,447.37,262.61,517.82,767.27
7,淮  安,1690.0,2745.09,480.4,244.0,487.2,283.31,661.15,985.66
8,盐  城,2771.33,4212.5,726.4,381.36,722.85,434.43,1111.5,1653.9
9,扬  州,2630.3,4016.84,446.08,253.06,448.36,281.53,1240.87,1749.58
10,镇  江,2311.45,3502.48,311.45,192.97,317.65,215.78,1175.63,1588.95
11,泰  州,2422.61,3687.9,462.13,257.18,464.16,285.69,1132.27,1565.28
12,宿  迁,1320.83,2126.19,472.28,227.97,485.38,269.53,502.57,873.04
